law,id_palette,cr1,cg1,cb1,cr2,cg2,cb2,cr3,cg3,cb3,cr4,cg4,cb4,cr5,cg5,cb5
0,17,0.762500,0.226118,0.347678,0.050000,0.014827,0.022799,0.287500,0.085258,0.131092,1.000000,0.296548,0.455971,0.525000,0.155688,0.239385
0,18,0.013288,0.530469,0.109997,0.018243,0.728300,0.151019,0.013866,0.553557,0.114784,0.024606,0.982316,0.203691,0.009457,0.377555,0.078289
0,19,0.287500,0.047005,0.235605,1.000000,0.163496,0.819497,0.050000,0.008175,0.040975,0.525000,0.085835,0.430236,0.762500,0.124666,0.624866
0,20,0.073471,0.428051,0.525000,0.040234,0.234409,0.287500,0.006997,0.040767,0.050000,0.106708,0.621694,0.762500,0.139945,0.815336,1.000000
0,21,0.227763,0.546889,0.553557,0.311089,0.746968,0.756075,0.131883,0.316668,0.320529,0.138098,0.331593,0.335636,0.404177,0.970483,0.982316
0,22,1.000000,0.479398,0.832908,0.762500,0.365541,0.635092,0.287500,0.137827,0.239461,0.525000,0.251684,0.437277,0.050000,0.023970,0.041645
0,23,0.194802,0.154027,0.335636,0.438824,0.346972,0.756075,0.420406,0.332409,0.724342,0.186034,0.147094,0.320529,0.039139,0.030947,0.067435
0,24,0.067435,0.045278,0.021580,0.335636,0.225356,0.107405,0.160620,0.107845,0.051399,0.320529,0.215213,0.102570,0.724342,0.486346,0.231792
0,25,0.275591,0.762500,0.265849,0.361430,1.000000,0.348654,0.018072,0.050000,0.017433,0.103911,0.287500,0.100238,0.189751,0.525000,0.183043
0,26,0.067435,0.064374,0.011218,0.274819,0.262344,0.045717,0.951500,0.908310,0.158286,0.160620,0.153329,0.026720,0.724342,0.691464,0.120498
0,27,0.951500,0.592312,0.356927,0.724342,0.450906,0.271716,0.274819,0.171076,0.103090,0.827765,0.515287,0.310512,0.160620,0.099987,0.060252
0,28,0.055931,0.525000,0.066097,0.081233,0.762500,0.095998,0.005327,0.050000,0.006295,0.030629,0.287500,0.036196,0.106535,1.000000,0.125899
0,29,0.179970,0.274819,0.059334,0.623106,0.951500,0.205430,0.378564,0.578076,0.124807,0.542077,0.827765,0.178716,0.521060,0.795671,0.171786
0,30,1.000000,0.873533,0.413137,0.287500,0.251141,0.118777,0.525000,0.458605,0.216897,0.762500,0.666069,0.315017,0.050000,0.043677,0.020657
0,31,0.244968,0.112454,0.795671,0.274460,0.125992,0.891463,0.177976,0.081700,0.578076,0.254849,0.116989,0.827765,0.298985,0.137250,0.971120
0,32,0.015857,0.011472,0.762500,0.010918,0.007898,0.525000,0.020796,0.015045,1.000000,0.001040,0.000752,0.050000,0.005979,0.004325,0.287500
0,33,0.079451,0.299555,0.795671,0.011396,0.042967,0.114128,0.041132,0.155082,0.411925,0.096970,0.365608,0.971120,0.089016,0.335618,0.891463
0,34,0.114128,0.026391,0.064882,0.411925,0.095253,0.234180,0.852908,0.197226,0.484879,0.971120,0.224562,0.552083,0.891463,0.206142,0.506798
0,35,1.000000,0.410590,0.967923,0.525000,0.215560,0.508159,0.050000,0.020530,0.048396,0.287500,0.118045,0.278278,0.762500,0.313075,0.738041
0,36,0.762500,0.322509,0.350879,0.287500,0.121602,0.132299,0.050000,0.021148,0.023008,0.525000,0.222055,0.241589,1.000000,0.422963,0.460169
0,37,0.411925,0.195186,0.265651,0.366460,0.173643,0.236330,0.907026,0.429785,0.584943,0.852908,0.404142,0.550042,0.490143,0.232249,0.316094
0,38,0.145406,0.366460,0.109968,0.194482,0.490143,0.147083,0.359894,0.907026,0.272183,0.338421,0.852908,0.255943,0.209373,0.527673,0.158345
0,39,0.013018,0.030073,0.050000,0.198523,0.458616,0.762500,0.260358,0.601463,1.000000,0.136688,0.315768,0.525000,0.074853,0.172921,0.287500
0,40,0.026209,0.075590,0.287500,0.004558,0.013146,0.050000,0.091162,0.262923,1.000000,0.069511,0.200478,0.762500,0.047860,0.138034,0.525000
0,41,0.132549,0.257739,0.287500,0.351543,0.683568,0.762500,0.023052,0.044824,0.050000,0.461040,0.896482,1.000000,0.242046,0.470653,0.525000
0,42,0.157414,0.122072,0.071210,0.527673,0.409200,0.238704,0.375278,0.291020,0.169765,0.527154,0.408797,0.238469,0.732708,0.568201,0.331456
0,43,0.287500,0.071527,0.105331,0.762500,0.189703,0.279356,0.050000,0.012440,0.018318,0.525000,0.130615,0.192344,1.000000,0.248791,0.366369
0,44,0.341927,0.762500,0.738440,0.235425,0.525000,0.508434,0.128923,0.287500,0.278428,0.022421,0.050000,0.048422,0.448429,1.000000,0.968445
0,45,0.207785,0.056074,0.527154,0.147921,0.039918,0.375278,0.337912,0.091190,0.857287,0.295398,0.079717,0.749429,0.118794,0.032058,0.301383
0,46,0.323775,0.375278,0.078385,0.260022,0.301383,0.062950,0.739635,0.857287,0.179062,0.646579,0.749429,0.156534,0.522910,0.606089,0.126594
0,47,0.215811,0.505354,0.806711,0.080626,0.188797,0.301383,0.229341,0.537036,0.857287,0.200486,0.469470,0.749429,0.162140,0.379676,0.606089
0,48,0.041996,0.287500,0.084979,0.111380,0.762500,0.225379,0.007304,0.050000,0.014779,0.146072,1.000000,0.295579,0.076688,0.525000,0.155179
0,49,0.330924,0.064876,0.606089,0.164555,0.032260,0.301383,0.215290,0.042206,0.394304,0.272942,0.053508,0.499894,0.440464,0.086350,0.806711
0,50,0.572340,0.606089,0.005712,0.472058,0.499894,0.004711,0.372348,0.394304,0.003716,0.519693,0.550338,0.005186,0.761791,0.806711,0.007602
0,51,0.548729,0.294854,0.762500,0.377814,0.203015,0.525000,0.206898,0.111175,0.287500,0.035982,0.019335,0.050000,0.719645,0.386694,1.000000
0,52,0.024341,0.050000,0.020043,0.371199,0.762500,0.305654,0.255579,0.525000,0.210450,0.139960,0.287500,0.115247,0.486818,1.000000,0.400858
0,53,0.080373,0.287500,0.104184,0.279557,1.000000,0.362380,0.213162,0.762500,0.276315,0.146768,0.525000,0.190249,0.013978,0.050000,0.018119
0,54,0.112703,1.000000,0.292229,0.059169,0.525000,0.153420,0.005635,0.050000,0.014611,0.085936,0.762500,0.222825,0.032402,0.287500,0.084016
0,55,0.290415,0.148052,0.113787,0.964029,0.491456,0.377715,0.983084,0.501171,0.385181,0.546283,0.278492,0.214038,0.508318,0.259137,0.199163
0,56,0.226634,1.000000,0.093585,0.172808,0.762500,0.071359,0.065157,0.287500,0.026906,0.011332,0.050000,0.004679,0.118983,0.525000,0.049132
0,57,0.232190,0.214512,0.546283,0.409747,0.378551,0.964029,0.022672,0.020946,0.053342,0.312939,0.289114,0.736264,0.216053,0.199604,0.508318
0,58,0.240354,0.287500,0.089131,0.438907,0.525000,0.162762,0.041801,0.050000,0.015501,0.836014,1.000000,0.310022,0.637460,0.762500,0.236392
0,59,0.010325,0.053342,0.044174,0.142518,0.736264,0.609712,0.010985,0.056752,0.046997,0.181338,0.936810,0.775787,0.105744,0.546283,0.452385
0,60,0.774835,0.330703,1.000000,0.590812,0.252161,0.762500,0.222765,0.095077,0.287500,0.406788,0.173619,0.525000,0.038742,0.016535,0.050000
0,61,0.318642,0.180321,0.510076,0.035453,0.020063,0.056752,0.585220,0.331178,0.936810,0.459941,0.260282,0.736264,0.242385,0.137167,0.388006
0,62,0.236691,0.609485,0.762500,0.162967,0.419646,0.525000,0.310414,0.799325,1.000000,0.015521,0.039966,0.050000,0.089244,0.229806,0.287500
0,63,0.609875,0.539097,0.159603,0.510076,0.450880,0.133486,0.056752,0.050166,0.014852,0.388006,0.342976,0.101540,0.179792,0.158927,0.047051
0,64,0.044861,0.287500,0.082947,0.156039,1.000000,0.288511,0.007802,0.050000,0.014426,0.118980,0.762500,0.219989,0.081921,0.525000,0.151468
0,65,0.139386,0.287500,0.044853,0.254530,0.525000,0.081905,0.024241,0.050000,0.007801,0.484819,1.000000,0.156010,0.369675,0.762500,0.118958
0,66,0.220259,0.699224,0.593294,0.221847,0.704264,0.597570,0.056636,0.179792,0.152554,0.096327,0.305794,0.259467,0.192114,0.609875,0.517481
0,67,0.510336,0.525000,0.012676,0.279470,0.287500,0.006942,0.048603,0.050000,0.001207,0.741202,0.762500,0.018411,0.972069,1.000000,0.024146
0,68,0.267977,0.475293,0.762500,0.101040,0.179209,0.287500,0.184509,0.327251,0.525000,0.351445,0.623335,1.000000,0.017572,0.031167,0.050000
0,69,1.000000,0.823187,0.086495,0.525000,0.432173,0.045410,0.762500,0.627680,0.065952,0.287500,0.236666,0.024867,0.050000,0.041159,0.004325
0,70,0.306310,0.619703,0.774043,0.242912,0.491442,0.613837,0.276702,0.559803,0.699224,0.313851,0.634961,0.793101,0.092031,0.186190,0.232562
0,71,0.295997,1.000000,0.926847,0.085099,0.287500,0.266468,0.014800,0.050000,0.046342,0.225698,0.762500,0.706721,0.155398,0.525000,0.486594
0,72,0.037736,0.232562,0.144712,0.128691,0.793101,0.493509,0.112038,0.690473,0.429649,0.105305,0.648980,0.403830,0.099603,0.613837,0.381962
0,73,0.056116,0.232562,0.132784,0.166608,0.690473,0.394234,0.054204,0.224638,0.128260,0.156596,0.648980,0.370543,0.148116,0.613837,0.350478
0,74,0.073337,0.090609,0.224638,0.225418,0.278505,0.690473,0.216901,0.267982,0.664383,0.211872,0.261769,0.648980,0.200399,0.247594,0.613837
0,75,0.762500,0.747029,0.164556,0.287500,0.281667,0.062046,0.525000,0.514348,0.113301,0.050000,0.048985,0.010791,1.000000,0.979710,0.215811
0,76,0.239277,1.000000,0.490091,0.125621,0.525000,0.257298,0.182449,0.762500,0.373694,0.068792,0.287500,0.140901,0.011964,0.050000,0.024505
0,77,0.181742,0.416811,0.525000,0.346175,0.793925,1.000000,0.017309,0.039696,0.050000,0.263959,0.605368,0.762500,0.099525,0.228254,0.287500
0,78,0.565161,0.259389,0.696373,0.647696,0.297270,0.798071,0.371335,0.170430,0.457547,0.539198,0.247473,0.664383,0.128466,0.058961,0.158292
0,79,0.046481,0.186850,0.762500,0.060959,0.245049,1.000000,0.003048,0.012252,0.050000,0.017526,0.070452,0.287500,0.032003,0.128651,0.525000
0,80,0.345962,0.696373,0.279946,0.047796,0.096206,0.038675,0.078640,0.158292,0.063634,0.124602,0.250807,0.100826,0.227312,0.457547,0.183936
0,81,0.050703,0.007243,0.096206,0.083423,0.011918,0.158292,0.132181,0.018883,0.250807,0.413024,0.059005,0.783693,0.241138,0.034449,0.457547
0,82,0.107122,0.250807,0.011435,0.041090,0.096206,0.004386,0.334722,0.783693,0.035731,0.410032,0.960017,0.043770,0.195423,0.457547,0.020861
0,83,0.713668,0.295755,0.762500,0.046798,0.019394,0.050000,0.269088,0.111514,0.287500,0.491378,0.203634,0.525000,0.935958,0.387875,1.000000
0,84,0.024344,0.101297,0.250807,0.093183,0.387735,0.960017,0.069817,0.290508,0.719287,0.076068,0.316520,0.783693,0.024411,0.101575,0.251495
0,85,0.292648,0.762500,0.352567,0.201496,0.525000,0.242751,0.019190,0.050000,0.023119,0.383801,1.000000,0.462383,0.110343,0.287500,0.132935
0,86,0.251495,0.211362,0.099807,0.719287,0.604503,0.285453,0.960017,0.806818,0.380988,0.065394,0.054958,0.025952,0.252936,0.212573,0.100379
0,87,0.251495,0.105103,0.248856,0.719287,0.300599,0.711740,0.065394,0.027329,0.064708,0.839877,0.350994,0.831064,0.252936,0.105705,0.250282
0,88,0.839877,0.442674,0.268298,0.065394,0.034467,0.020890,0.191340,0.100850,0.061124,0.251495,0.132556,0.080340,0.252936,0.133315,0.080800
0,89,0.050000,0.006167,0.024257,0.525000,0.064752,0.254697,1.000000,0.123338,0.485138,0.287500,0.035460,0.139477,0.762500,0.094045,0.369917
0,90,0.165327,0.815579,0.839877,0.098650,0.486654,0.501153,0.114179,0.563262,0.580042,0.037665,0.185805,0.191340,0.012873,0.063502,0.065394
0,91,0.450558,0.231635,0.839877,0.268847,0.138216,0.501153,0.311168,0.159974,0.580042,0.102646,0.052771,0.191340,0.102195,0.052539,0.190500
0,92,0.525000,0.444503,0.233599,0.287500,0.243418,0.127924,0.762500,0.645588,0.339275,1.000000,0.846672,0.444951,0.050000,0.042334,0.022248
0,93,0.049950,0.046813,0.190500,0.131404,0.123152,0.501153,0.152089,0.142539,0.580042,0.211457,0.198178,0.806462,0.022174,0.020782,0.084568
0,94,0.040410,0.806462,0.494036,0.025111,0.501153,0.307004,0.017584,0.350933,0.214980,0.009545,0.190500,0.116700,0.004237,0.084568,0.051806
0,95,0.346770,0.132699,0.350933,0.083565,0.031978,0.084568,0.164548,0.062968,0.166523,0.188241,0.072034,0.190500,0.796896,0.304949,0.806462
0,96,0.525000,0.406227,0.245835,1.000000,0.773766,0.468258,0.050000,0.038688,0.023413,0.287500,0.222458,0.134624,0.762500,0.589997,0.357047
0,97,0.101839,0.173487,0.308589,0.253169,0.431283,0.767143,0.266144,0.453387,0.806462,0.054955,0.093618,0.166523,0.115813,0.197292,0.350933
0,98,0.287500,0.001822,0.162538,0.050000,0.000317,0.028267,0.525000,0.003326,0.296808,0.762500,0.004831,0.431078,1.000000,0.006336,0.565349
0,99,1.000000,0.083893,0.235509,0.525000,0.044044,0.123642,0.762500,0.063968,0.179576,0.287500,0.024119,0.067709,0.050000,0.004195,0.011775
0,100,0.055742,0.287500,0.213439,0.193886,1.000000,0.742395,0.147838,0.762500,0.566076,0.101790,0.525000,0.389757,0.009694,0.050000,0.037120
0,101,0.843459,0.301147,0.663199,0.672729,0.240190,0.528957,0.767143,0.273900,0.603193,0.360519,0.128719,0.283470,0.884644,0.315852,0.695582
0,102,0.359530,0.441711,0.762500,0.135560,0.166547,0.287500,0.023576,0.028965,0.050000,0.471514,0.579292,1.000000,0.247545,0.304129,0.525000
0,103,0.013937,0.324997,1.000000,0.000697,0.016250,0.050000,0.010627,0.247810,0.762500,0.004007,0.093437,0.287500,0.007317,0.170623,0.525000
0,104,0.131235,0.287500,0.256133,0.022823,0.050000,0.044545,0.456468,1.000000,0.890899,0.239646,0.525000,0.467722,0.348057,0.762500,0.679310
0,105,0.100757,0.702968,0.762500,0.069374,0.484011,0.525000,0.037990,0.265054,0.287500,0.006607,0.046096,0.050000,0.132140,0.921926,1.000000
0,106,0.050000,0.044536,0.013816,0.762500,0.679176,0.210699,0.525000,0.467629,0.145072,0.287500,0.256083,0.079444,1.000000,0.890722,0.276327
0,107,0.140904,0.187591,0.040250,0.651069,0.866792,0.185980,0.297500,0.396073,0.084982,0.726733,0.967527,0.207594,0.257368,0.342644,0.073518
0,108,0.059294,0.187591,0.165762,0.212850,0.673406,0.595046,0.125191,0.396073,0.349985,0.305816,0.967527,0.854943,0.108303,0.342644,0.302773
0,109,0.128419,0.762500,0.712370,0.088420,0.525000,0.490484,0.008421,0.050000,0.046713,0.168419,1.000000,0.934255,0.048420,0.287500,0.268598
0,110,0.187591,0.143274,0.001742,0.342644,0.261696,0.003181,0.095022,0.072573,0.000882,0.213343,0.162942,0.001981,0.673406,0.514317,0.006252
0,111,0.506056,0.015197,0.335761,0.342644,0.010290,0.227339,0.213343,0.006407,0.141550,0.673406,0.020223,0.446795,0.095022,0.002854,0.063045
0,112,0.047067,0.213343,0.068254,0.069108,0.313250,0.100217,0.111644,0.506056,0.161901,0.148564,0.673406,0.215440,0.020963,0.095022,0.030400
0,113,0.066756,0.033051,0.213343,0.080326,0.039769,0.256710,0.158348,0.078398,0.506056,0.098018,0.048529,0.313250,0.029733,0.014721,0.095022
0,114,0.327962,0.984231,0.470592,0.168626,0.506056,0.241961,0.085540,0.256710,0.122741,0.104380,0.313250,0.149775,0.071089,0.213343,0.102006
0,115,0.256710,0.049902,0.159633,0.506056,0.098372,0.314687,0.984231,0.191325,0.612038,0.313250,0.060893,0.194792,0.193204,0.037557,0.120143
0,116,0.654275,0.475482,0.984231,0.170649,0.124016,0.256710,0.208235,0.151331,0.313250,0.334314,0.242957,0.502912,0.128434,0.093337,0.193204
0,117,0.201638,0.243337,0.762500,0.264443,0.319130,1.000000,0.013222,0.015957,0.050000,0.138832,0.167543,0.525000,0.076027,0.091750,0.287500
0,118,0.609026,0.449896,0.984231,0.368655,0.272330,0.595773,0.091574,0.067647,0.147991,0.119552,0.088314,0.193204,0.311194,0.229883,0.502912
0,119,0.084950,0.287500,0.184559,0.155126,0.525000,0.337021,0.014774,0.050000,0.032097,0.295479,1.000000,0.641945,0.225303,0.762500,0.489483
0,120,0.307414,0.476335,0.030379,0.384497,0.595773,0.037997,0.324566,0.502912,0.032074,0.179871,0.278708,0.017775,0.095509,0.147991,0.009438
0,121,0.237286,0.019253,0.541628,0.208681,0.016932,0.476335,0.122101,0.009907,0.278708,0.261006,0.021178,0.595773,0.064834,0.005261,0.147991
0,122,0.288857,0.226103,0.525000,0.158183,0.123818,0.287500,0.419530,0.328387,0.762500,0.550203,0.430672,1.000000,0.027510,0.021534,0.050000
0,123,0.918993,0.316278,1.000000,0.482471,0.166046,0.525000,0.700732,0.241162,0.762500,0.264210,0.090930,0.287500,0.045950,0.015814,0.050000
0,124,0.375262,0.762500,0.358731,0.024607,0.050000,0.023523,0.492146,1.000000,0.470466,0.258377,0.525000,0.246995,0.141492,0.287500,0.135259
0,125,0.633658,1.000000,0.284743,0.182177,0.287500,0.081864,0.031683,0.050000,0.014237,0.483164,0.762500,0.217117,0.332671,0.525000,0.149490
0,126,0.001724,0.141918,0.066737,0.008953,0.736811,0.346489,0.007050,0.580182,0.272833,0.007570,0.622965,0.292953,0.011761,0.967919,0.455169
0,127,0.118214,0.287500,0.204838,0.020559,0.050000,0.035624,0.411178,1.000000,0.712481,0.215868,0.525000,0.374052,0.313523,0.762500,0.543267
0,128,0.130708,0.287500,0.144524,0.238685,0.525000,0.263914,0.454637,1.000000,0.502694,0.022732,0.050000,0.025135,0.346661,0.762500,0.383304
0,129,0.029900,0.399361,0.142327,0.010625,0.141918,0.050578,0.034184,0.456591,0.162724,0.053987,0.721089,0.256988,0.055164,0.736811,0.262591
0,130,0.136305,0.399361,0.132034,0.048438,0.141918,0.046920,0.155838,0.456591,0.150955,0.246113,0.721089,0.238402,0.046371,0.135862,0.044918
0,131,0.087313,0.135862,0.063655,0.256653,0.399361,0.187111,0.293432,0.456591,0.213925,0.463414,0.721089,0.337850,0.222712,0.346547,0.162367
0,132,0.721089,0.058524,0.596887,0.142026,0.011527,0.117563,0.135862,0.011027,0.112461,0.399361,0.032412,0.330574,0.346547,0.028126,0.286857
0,133,0.762500,0.519458,0.113460,1.000000,0.681256,0.148800,0.050000,0.034063,0.007440,0.287500,0.195861,0.042780,0.525000,0.357659,0.078120
0,134,0.135862,0.016706,0.116182,0.065615,0.008068,0.056111,0.346547,0.042612,0.296350,0.229729,0.028248,0.196452,0.142026,0.017464,0.121453
0,135,0.092198,0.287500,0.011123,0.168362,0.525000,0.020311,0.320690,1.000000,0.038688,0.016034,0.050000,0.001934,0.244526,0.762500,0.029500
0,136,0.212272,0.896711,0.448752,0.015533,0.065615,0.032837,0.054382,0.229729,0.114966,0.181881,0.768329,0.384504,0.033621,0.142026,0.071076
0,137,0.219063,0.387519,0.762500,0.014365,0.025411,0.050000,0.150830,0.266816,0.525000,0.082597,0.146114,0.287500,0.287295,0.508222,1.000000
0,138,1.000000,0.669705,0.336343,0.525000,0.351595,0.176580,0.287500,0.192540,0.096699,0.762500,0.510650,0.256462,0.050000,0.033485,0.016817
0,139,0.349099,0.768329,0.024273,0.331044,0.728591,0.023017,0.074150,0.163195,0.005156,0.407431,0.896711,0.028329,0.200230,0.440683,0.013922
0,140,0.768329,0.350423,0.316356,0.728591,0.332300,0.299994,0.440683,0.200989,0.181449,0.798348,0.364114,0.328716,0.163195,0.074431,0.067195
0,141,0.750453,0.101089,0.798348,0.684882,0.092256,0.728591,0.414246,0.055800,0.440683,0.102572,0.013817,0.109118,0.153405,0.020664,0.163195
0,142,0.878692,0.493501,1.000000,0.461313,0.259088,0.525000,0.252624,0.141882,0.287500,0.043935,0.024675,0.050000,0.670002,0.376295,0.762500
0,143,0.024479,0.012012,0.050000,0.257025,0.126123,0.525000,0.489572,0.240233,1.000000,0.140752,0.069067,0.287500,0.373299,0.183178,0.762500
0,144,0.023636,0.050000,0.011901,0.360442,0.762500,0.181484,0.135904,0.287500,0.068428,0.248173,0.525000,0.124956,0.472710,1.000000,0.238012
0,145,0.120818,0.130468,0.036370,0.564993,0.610120,0.170079,0.892491,0.963775,0.268665,0.326485,0.352562,0.098281,0.101048,0.109118,0.030418
0,146,0.542567,0.610120,0.139219,0.857065,0.963775,0.219917,0.116023,0.130468,0.029771,0.313526,0.352562,0.080448,0.370033,0.416104,0.094948
0,147,0.762500,0.104380,0.756140,0.525000,0.071868,0.520621,1.000000,0.136892,0.991659,0.050000,0.006845,0.049583,0.287500,0.039356,0.285102
0,148,0.308434,0.359881,0.762500,0.404503,0.471975,1.000000,0.020225,0.023599,0.050000,0.212364,0.247787,0.525000,0.116295,0.135693,0.287500
0,149,0.094037,0.287500,0.020058,0.016354,0.050000,0.003488,0.249401,0.762500,0.053196,0.327083,1.000000,0.069765,0.171719,0.525000,0.036627
0,150,0.430380,0.263609,0.787427,0.531548,0.325575,0.972525,0.227428,0.139301,0.416104,0.255590,0.156550,0.467630,0.068644,0.042044,0.125591
0,151,0.787427,0.103928,0.338171,0.852001,0.112451,0.365903,0.125591,0.016576,0.053937,0.467630,0.061720,0.200830,0.972525,0.128358,0.417664
0,152,0.273540,0.763008,0.852001,0.113520,0.316651,0.353584,0.252808,0.705179,0.787427,0.150135,0.418786,0.467630,0.312235,0.870944,0.972525
0,153,0.207804,0.287500,0.004696,0.379467,0.525000,0.008576,0.551131,0.762500,0.012455,0.722795,1.000000,0.016335,0.036140,0.050000,0.000817
0,154,0.007156,0.762500,0.558273,0.002698,0.287500,0.210496,0.009385,1.000000,0.732161,0.004927,0.525000,0.384384,0.000469,0.050000,0.036608
0,155,0.021623,0.769734,1.000000,0.001081,0.038487,0.050000,0.011352,0.404110,0.525000,0.016488,0.586922,0.762500,0.006217,0.221299,0.287500
0,156,0.440315,0.739391,0.915284,0.032018,0.053765,0.066555,0.206676,0.347057,0.429618,0.170098,0.285634,0.353584,0.233857,0.392700,0.486120
0,157,0.035475,1.000000,0.920800,0.001774,0.050000,0.046040,0.027050,0.762500,0.702110,0.010199,0.287500,0.264730,0.018625,0.525000,0.483420
0,158,0.444359,0.390613,0.178268,0.343609,0.302048,0.137849,0.486120,0.427322,0.195021,0.429618,0.377655,0.172354,0.066555,0.058505,0.026701
0,159,0.729269,0.207194,1.000000,0.209665,0.059568,0.287500,0.382866,0.108777,0.525000,0.036463,0.010360,0.050000,0.556068,0.157985,0.762500
0,160,0.060437,0.306238,0.343609,0.052012,0.263549,0.295710,0.078158,0.396031,0.444359,0.056963,0.288632,0.323854,0.075565,0.382894,0.429618
0,161,0.083802,0.343609,0.170035,0.072120,0.295710,0.146332,0.108374,0.444359,0.219891,0.078984,0.323854,0.160259,0.170626,0.699607,0.346200
0,162,0.525000,0.082214,0.041334,0.287500,0.045022,0.022636,1.000000,0.156598,0.078732,0.762500,0.119406,0.060033,0.050000,0.007830,0.003937
0,163,0.687720,0.762500,0.377305,0.045096,0.050000,0.024741,0.473512,0.525000,0.259784,0.901928,1.000000,0.494826,0.259304,0.287500,0.142263
0,164,0.104629,0.226882,0.295710,0.302350,0.655630,0.854524,0.247536,0.536770,0.699607,0.017864,0.038738,0.050490,0.096633,0.209544,0.273113
0,165,0.017690,0.031805,0.050000,0.353803,0.636096,1.000000,0.101719,0.182878,0.287500,0.269775,0.485023,0.762500,0.185747,0.333951,0.525000
0,166,0.404798,0.854524,0.112149,0.454666,0.959795,0.125964,0.390462,0.824262,0.108177,0.129377,0.273113,0.035844,0.023918,0.050490,0.006626
0,167,0.221998,0.762500,0.468635,0.014557,0.050000,0.030730,0.152851,0.525000,0.322667,0.083704,0.287500,0.176699,0.291144,1.000000,0.614604
0,168,0.000595,0.050000,0.012765,0.003422,0.287500,0.073398,0.009077,0.762500,0.194664,0.006249,0.525000,0.134031,0.011904,1.000000,0.255297
0,169,0.323445,0.511498,0.038891,0.409331,0.647318,0.049218,0.521222,0.824262,0.062671,0.606925,0.959795,0.072976,0.396325,0.626750,0.047654
0,170,0.096098,0.511498,0.032813,0.121615,0.647318,0.041526,0.151776,0.807853,0.051824,0.180322,0.959795,0.061571,0.117751,0.626750,0.040206
0,171,0.165057,0.107362,0.511498,0.208886,0.135870,0.647318,0.121705,0.079163,0.377154,0.202248,0.131553,0.626750,0.260689,0.169566,0.807853
0,172,0.373187,0.016419,1.000000,0.018659,0.000821,0.050000,0.107291,0.004720,0.287500,0.284555,0.012520,0.762500,0.195923,0.008620,0.525000
0,173,0.549031,0.819983,0.358190,0.252529,0.377154,0.164751,0.177607,0.265258,0.115872,0.419649,0.626750,0.273781,0.540909,0.807853,0.352891
0,174,0.241972,0.525000,0.382862,0.023045,0.050000,0.036463,0.460900,1.000000,0.729261,0.132509,0.287500,0.209663,0.351436,0.762500,0.556062
